reputation,up_votes,down_votes,num_badges,contributing_score,EFF_CLASS_NUM
35,0,0,6,0.35,1
152,7,0,9,1.19,1
68,6,0,6,1.4,1
17976,564,41,62,1.84,-1
914,877,76,41,0.8,-1
639,0,0,19,7.25,-1
386,886,2,20,2.56,1
33,9,0,8,0.08,1
130,48,0,13,0.42,1
1010,181,0,32,2.83,-1
789,324,4,39,0.79,1
161,10,0,32,0.38,1
56,6,0,12,0.24,1
271,12,0,9,5.4,-1
97,15,0,23,0.25,1
134,11,0,4,0.76,-1
5219,114,14,102,4.13,0
133,10,0,18,0.28,1
20,0,0,8,0.03,1
84,249,0,10,1.43,-1
179,9,2,13,2.62,1
2611,275,55,56,1.02,-1
33,11,0,7,0.08,1
38393,1440,114,215,5.42,-1
41,5,0,12,0.11,1
1092,52,3,24,1.96,1
23159,42,10,172,5.11,0
762,16,0,30,2.97,1
17,1,0,7,-0.17,1
106,13,0,8,0.26,1
110,17,0,16,0.24,1
606,5,0,13,10.18,-1
28995,763,35515,134,0.62,-1
1826,99,0,32,2.84,-1
41,3,0,4,0.46,-1
2499,242,5,35,0.7,1
103,20,0,7,0.35,1
338,38,2,26,0.74,1
363,345,2,21,0.77,-1
337,78,3,21,0.71,1
1889,254,7,45,2.8,0
129,42,0,3,0.64,-1
306,18,0,9,0.9,-1
22,4,0,6,0.11,1
539,46,4,30,0.3,1
73,6,0,11,0.42,1
177,67,1,13,0.42,1
105,2,0,7,0.79,1
55,10,0,7,0.75,1
1189,37,1,43,9.22,1
398,221,5,20,0.65,-1
264,145,3,22,0.24,1
458,5,6,11,0.18,-1
28,0,0,6,0.2,1
1057,180,16,34,2.22,-1
142,104,1,11,-0.07,1
195,2,0,16,1.95,0
1036,86,0,45,1.12,1
2408,40,0,35,3.14,1
915,36,5,17,0.45,1
2500,102,10,39,3.76,1
70,3,0,6,0.69,-1
61,6,0,13,0.27,1
61,24,0,12,0.13,1
72,68,0,10,0.04,1
4,0,0,3,0.06,-1
415,343,0,18,0.63,1
564,86,2,36,0.65,1
387,145,0,18,0.45,-1
198,5,0,12,0.75,-1
433,147,0,26,0.93,1
577,75,0,27,0.43,1
1808,35,32,29,5.09,-1
66,9,0,8,0.06,1
350,67,1,13,1.64,-1
308,1,0,18,0.96,1
756,67,0,20,0.93,1
303,60,0,15,1.26,1
73,16,0,8,1.33,1
14,6,0,5,-0.13,1
35,17,0,12,0.09,1
86,115,0,12,0.44,1
124,110,0,11,0.46,-1
93,9,0,10,0.27,1
118,2,0,8,0.17,1
65,66,0,9,0.38,1
51032,2960,398,407,3.26,1
849,300,8,25,2.26,-1
60,170,0,10,0.53,1
2164,394,13,121,1.34,-1
301,1,0,5,3.0,-1
296,104,2,13,0.13,1
380,232,10,22,0.46,-1
356,413,5,24,0.6,1
80,1,0,9,0.13,1
142,19,0,15,0.3,1
71,3,0,15,0.23,1
84,5,0,5,1.0,-1
121,5,0,13,0.33,1
5475,366,78,49,0.83,-1
170,26,2,6,0.46,-1
498,41,1,19,0.47,0
258,4,0,7,0.58,-1
74,30,0,9,0.79,1
40,3,0,6,1.0,1
23,0,0,4,0.29,1
83,19,0,14,0.1,1
166,15,0,14,0.18,1
3018,208,3,196,0.85,1
239,1,0,4,3.83,-1
962,115,10,23,1.51,-1
18,2,0,5,0.0,-1
631,135,0,22,3.65,-1
74,0,0,5,2.8,-1
420,32,0,18,0.46,1
381,22,2,22,2.02,1
779,43,0,54,0.62,1
140,6,0,13,1.04,1
60,5,0,10,0.26,1
3347,10,1,26,42.33,1
32,2,0,8,-0.07,1
1264,1003,24,48,1.33,-1
75,25,0,9,0.14,1
305,209,1,20,0.74,-1
56,5,0,13,0.16,1
256,166,1,34,0.61,1
153,18,0,10,0.69,1
1215,105,0,16,0.96,-1
44,10,0,10,0.47,1
102,5,0,14,0.37,1
19,9,0,6,-0.03,1
80,6,0,8,0.65,1
148,15,0,7,1.08,1
62,62,0,7,0.21,0
181,138,0,15,3.44,-1
344,338,0,30,0.39,-1
27,12,0,6,0.24,-1
78,0,0,30,0.13,0
735,22,1,55,0.52,0
3296,43,6,36,3.42,-1
18980,912,46,258,4.51,-1
168,0,0,3,0.11,-1
1875,16,5,24,4.28,-1
531,101,2,16,0.71,-1
508,55,2,34,0.79,-1
65,20,0,7,0.21,1
131,7,0,12,0.47,1
480,47,4,23,0.5,1
606,46,3,15,0.45,1
1253,73,0,24,5.54,1
139,12,2,13,0.12,1
4180,487,19,139,1.73,-1
46,7,0,12,0.11,-1
287,54,2,21,0.63,1
5020,163,16,48,2.8,1
109,0,0,12,2.33,-1
12,0,0,6,-0.07,-1
667,40,0,8,1.38,-1
886,67,0,45,0.82,1
58,6,0,9,0.13,-1
373,6,5,11,0.27,-1
9,1,0,8,-0.17,1
342,9,1,5,1.13,-1
84,270,0,5,0.33,-1
38,19,0,8,0.19,1
741,0,0,7,7.73,-1
675,45,1,12,19.8,-1
34,15,0,9,0.24,1
1238,269,29,57,1.1,-1
791,31,0,22,0.68,1
75,33,0,9,0.03,1
1037,0,0,28,20.5,1
1042,179,3,46,1.89,-1
55,13,0,15,0.08,1
5678,54,7,37,5.89,-1
194,15,0,19,0.3,1
197,15,0,15,1.09,1
541,31,0,23,0.75,1
42,3,0,6,0.25,-1
312,13,2,15,0.08,0
1504,215,2,53,0.46,1
175,0,0,11,0.4,1
1326,170,2,50,1.17,1
514,1,0,14,2.5,-1
199,19,0,10,0.31,1
76,21,0,13,0.1,1
1615,221,0,26,8.86,1
126,40,0,26,0.41,-1
130,8,0,10,2.0,1
2698,257,1,70,2.88,1
1172,94,2,42,1.66,1
33,10,0,9,-0.03,1
63,1,0,13,0.29,1
311,19,0,25,0.31,1
158,121,0,14,0.7,1
34,9,0,8,0.0,1
137,2,0,4,1.09,-1
339,112,1,17,0.43,1
33,2,0,10,0.42,1
469,13,0,18,1.12,1
28,0,0,7,0.58,1
51,0,0,4,1.8,-1
1145,356,4,32,1.36,1
761,11,0,11,2.37,1
83,3,0,13,0.28,1
324,87,0,10,3.11,-1
2460,34,3,27,1.42,-1
58,0,0,5,2.75,1
54,5,0,20,-0.03,1
320414,3363,152,914,1.46,-1
664,21,3,17,0.71,1
535,90,6,16,0.26,1
147,4,0,14,0.88,1
1072,112,8,26,0.51,1
18529,136,0,136,40.19,1
140,82,0,8,0.38,1
36,0,0,8,0.47,-1
405,63,1,9,5.4,-1
478,33,0,31,0.61,1
14,0,0,5,-0.22,1
192,63,13,12,0.52,-1
7587,218,33,129,5.02,0
117,22,0,14,0.32,1
72,19,0,14,0.15,1
443,62,5,15,0.57,-1
88,163,0,11,0.28,1
836,35,6,49,1.89,0
1070,1135,19,44,0.41,0
823,746,3,25,0.98,1
669,78,2,19,3.11,-1
74,8,0,13,0.28,1
378,36,3,14,2.31,-1
1453,94,0,30,2.24,-1
312,23,6,18,1.04,1
77,0,0,12,0.29,1
568,11,1,102,0.61,1
1634,113,5,42,3.9,1
1301,1561,10,62,0.8,1
492,2,0,25,1.98,1
43,17,0,6,0.38,1
27,7,0,11,0.1,1
28,5,0,7,0.11,1
1057,4,1,18,0.78,1
2409,121,2,44,3.92,-1
69,6,0,11,0.08,1
86,4,0,3,0.9,-1
1100,96,5,56,0.47,1
545,86,1,45,0.72,1
44,1,0,3,0.14,-1
1597,103,16,34,0.61,1
117,78,0,10,0.03,1
37,7,0,6,0.22,1
691,27,2,25,1.93,1
111,193,0,13,0.14,0
40,1,0,13,0.22,1
116,36,0,10,0.55,1
831,207,2,46,1.08,-1
38,0,0,10,-0.16,1
2008,107,21,43,2.59,1
755,231,40,27,0.91,-1
725,14,0,29,1.79,1
76,0,0,3,1.8,-1
443,103,1,27,0.6,1
116,5,0,5,0.0,-1
54,10,0,8,0.73,1
609,657,13,41,0.41,-1
174,26,0,24,0.37,1
1001,36,1,20,12.92,1
80,2,0,7,1.5,1
19565,553,13,127,1.44,1
10,0,0,2,0.09,1
36,0,0,14,0.13,1
386,77,0,23,2.12,1
51,2,0,10,0.1,1
381,23,0,19,2.36,1
76,22,0,11,0.62,1
145,3,0,8,1.35,1
101,7,0,5,1.11,-1
16073,193,0,58,2.46,-1
621,5,1,8,1.69,-1
612,261,6,50,0.79,0
319,15,4,23,0.52,1
284,63,2,30,0.28,0
53,6,0,8,0.36,1
10935,171,8,95,2.94,1
354,17,3,10,0.33,-1
6473,426,11,70,5.68,1
654,663,1,22,2.2,0
9,0,0,4,0.0,-1
75,36,0,9,0.33,1
177,9,0,13,0.42,1
731,255,2,26,0.76,1
306,90,0,11,0.68,1
492,71,0,18,1.58,1
306,85,0,20,0.49,-1
723,161,6,26,0.76,1
43,8,0,9,0.12,-1
35,1,0,11,0.1,1
91,17,0,12,0.84,1
493,39,4,24,0.74,1
222,2,0,11,0.51,-1
94,5,0,6,0.3,-1
758,44,1,17,2.85,1
144,21,0,4,0.56,-1
73,18,0,8,0.2,1
18,0,0,8,0.07,1
48,0,0,5,1.4,1
726,11,3,27,1.04,0
136,110,9,11,0.78,-1
17879,2992,85,176,9.65,-1
62,13,0,8,0.13,1
144,37,5,10,0.68,-1
59,9,0,11,0.12,1
2973,1380,11,50,1.37,1
989,3,2,12,21.75,-1
191,39,5,7,1.82,-1
45,11,0,7,0.88,-1
151,14,0,9,2.33,-1
40,0,0,10,0.5,1
100,15,0,9,0.25,1
5,0,0,4,0.0,1
1560,208,5,95,0.68,-1
59,0,0,3,1.5,-1
880,5,2,20,0.66,-1
125,49,0,7,0.18,-1
92,1857,0,20,0.2,1
165,6,0,19,0.52,1
175,24,22,22,0.08,1
122,0,0,13,0.84,1
167,18,0,11,1.0,1
120,380,0,7,1.14,1
837,139,2,17,1.88,1
2221,187,11,70,1.19,-1
1954,7,0,21,22.2,1
15,0,0,6,0.13,1
56,8,0,11,0.61,-1
342,27,1,8,2.69,-1
320,15,4,26,0.38,1
114,70,0,10,1.0,1
337,21,0,35,0.45,1
77,12,0,12,0.5,1
42,4,0,10,-0.57,-1
171,0,0,1,1.67,-1
2090,4689,576,51,0.39,1
714,1654,2,35,0.53,1
74,61,0,13,0.07,1
2171,37,6,31,4.35,-1
108,195,0,14,0.16,1
1567,291,12,47,1.63,-1
369,57,0,19,0.49,1
146,16,0,3,1.5,-1
720,39,5,19,0.97,-1
311,10,0,5,1.88,-1
1449,0,0,12,28.8,-1
71,11,0,11,0.76,0
101,0,0,3,2.5,-1
36,6,0,4,0.38,-1
23268,2459,17,740,3.62,0
59,7,0,9,0.09,1
81,0,0,2,1.6,-1
430,12,0,32,1.76,0
196,24,0,19,0.75,1
25,0,0,13,0.2,1
39,0,0,3,0.5,-1
34,3,0,9,0.23,1
325,24,0,27,0.22,1
449,3,9,15,0.43,1
168,6,0,23,0.22,-1
162,24,1,9,0.66,-1
309,23,0,11,0.63,1
82,23,0,7,0.5,1
89,5,0,7,0.08,1
27,0,0,4,0.67,-1
865,419,31,42,0.39,1
3059,4,0,30,1.44,1
238,0,0,8,1.47,1
319,109,10,19,0.76,1
1039,40,4,23,0.84,-1
411,2,0,9,6.83,-1
27,0,0,7,-0.33,1
59,63,0,11,0.2,0
164,17,0,11,0.52,-1
389,72,7,27,1.08,-1
35,7,0,5,0.86,1
899,273,0,44,3.41,-1
763,9,0,15,0.65,-1
1258,78,6,20,0.95,-1
2053,333,34,64,1.79,-1
66,6,0,10,0.2,1
46,117,0,7,0.18,1
864,435,1,23,0.36,1
36,8,0,8,0.11,1
89,10,0,14,0.25,-1
40,4,0,10,-0.13,1
517,46,0,28,0.52,1
588,78,41,20,0.8,1
83,71,0,5,0.91,1
329,4,0,23,0.53,1
28,0,0,4,0.33,1
58,7,0,9,2.75,1
73,4,0,9,2.33,-1
116,0,0,2,1.25,-1
462,24,0,12,0.64,1
2244,150,0,17,14.43,1
17,0,0,6,-0.13,1
176,153,0,10,4.86,1
7185,589,6,129,3.0,0
50,8,0,11,-0.04,1
