id,reputation,up_votes,down_votes,views,no_of_questions_answered_by_user,avg_ans_score,no_of_questions_Asked_by_user,avg_que_score,EFF_CLASS,EFF_CLASS_NUM
1024803,39,4,0,29,1,0,2,3,NO,-1
4780173,117,12,0,52,1,0,36,0,YES,1
1181958,589,29,0,115,16,2.1875,13,1,YES,1
2437872,123,29,0,21,7,1.142857143,1,0,YES,1
3609200,131,6,0,23,15,0.533333333,7,-0.571428571,YES,1
4272160,115,4,0,27,1,0,10,1.5,YES,1
2474127,312,102,2,22,13,0.923076923,10,0.5,YES,1
7186400,338,24,3,61,20,0.85,6,-0.333333333,NO,-1
114074,109,1,0,71,1,1,7,2.285714286,NO,-1
200653,7860,1530,27,469,119,4.336134454,87,3.770114943,NO,-1
10219406,24,8,0,32,1,0,1,0,NO,-1
5806911,162,27,1,16,16,0.5,1,0,YES,1
5343089,146,5,0,55,1,1,2,13,NO,-1
152582,160,1,0,28,4,3.25,3,1.666666667,YES,1
440804,126,61,0,42,3,2.666666667,15,0.333333333,YES,1
1606912,1831,27,32,171,65,0,1,0,NO,-1
1113249,52,4,0,17,3,0,8,1,YES,1
7219646,1297,65,4,98,93,0,1,0,NO,-1
4661287,141,2,0,22,16,0.3125,2,2,YES,1
5925405,27,1,0,27,1,0,1,0,NO,-1
2039764,101,2,0,62,3,0,9,2,YES,1
9127924,20,6,0,20,1,0,4,0,YES,1
1236250,3539,46,7,269,14,21.5,2,0.5,NO,-1
373418,2034,142,14,317,53,2.301886792,16,4,NO,-1
1743906,82,14,0,26,1,1,15,0.733333333,YES,1
4492536,62,5,0,20,1,0,7,0,YES,1
2747552,2339,21,1,181,122,0,1,0,NO,-1
203984,701,25,1,39,16,3.625,1,2,YES,1
401667,2564,892,21,210,90,2.055555556,5,3.2,NO,-1
407802,1243,9,7,34,55,0,1,0,NO,-1
2430054,2595,35,2,75,97,0,1,0,NO,-1
3437594,57,3,0,34,2,0.5,11,0.272727273,YES,1
2225148,331,39,0,23,12,0,1,0,NO,-1
1323884,626,84,4,125,12,0.416666667,89,0.685393258,YES,1
1295867,1853,86,7,121,94,1.255319149,32,1.34375,MODERATE,0
146129,318,0,0,34,1,0,1,0,YES,1
192409,1721,102,51,445,87,0.954022989,22,3.636363636,YES,1
369274,676,146,1,68,17,0.882352941,25,2.92,MODERATE,0
3017504,1294,215,18,74,57,0,1,0,NO,-1
2280596,33,1,0,16,1,0,5,0,YES,1
5611861,106,327,0,26,1,0,13,0,YES,1
9458135,41,0,0,26,5,0.2,19,0.157894737,NO,-1
73641,440,7,2,40,3,9.666666667,1,0,NO,-1
248729,242,18,2,18,1,0,6,0,NO,-1
2848172,494,54,0,25,8,1.25,1,51,NO,-1
896327,1352,3,2,53,6,20.333333333,8,0.375,YES,1
3001711,110,2,0,14,2,0,4,0.25,YES,1
4811918,215,40,5,26,19,0.210526316,2,0.5,YES,1
1438003,2650,19,1,180,18,2.222222222,29,14.965517241,YES,1
73632,9965,167,11,417,97,9,6,3.833333333,NO,-1
4464010,75,18,0,31,12,-0.166666667,31,0.193548387,YES,1
531069,557,167,0,87,15,3,19,2.947368421,YES,1
2469323,186,26,1,48,5,0.6,33,0.696969697,YES,1
43178,412,21,0,27,2,4.5,5,11.8,YES,1
5085788,1631,60,40,65,68,1.073529412,2,1,NO,-1
641159,2052,46,24,54,39,0,1,0,NO,-1
809459,265,3,0,47,3,1.666666667,26,1.230769231,YES,1
2651076,686,324,7,157,43,0.697674419,24,0.416666667,YES,1
700820,456,3,0,33,8,0,1,0,NO,-1
2404240,316,23,0,23,12,2.083333333,2,2,YES,1
1034757,67,6,0,21,4,0,11,0.727272727,YES,1
4425553,34,2,0,19,1,0,6,0,YES,1
186762,724,6,0,96,16,0,1,0,NO,-1
3065996,2133,904,137,244,163,0.601226994,19,0.684210526,YES,1
453782,72,40,0,32,24,0.041666667,1,1,YES,1
5590032,96,3,0,18,14,0.214285714,1,0,YES,1
155337,826,18,2,80,11,1.181818182,13,9.538461538,YES,1
386043,610,30,1,35,14,3.714285714,3,1,YES,1
1310687,205,29,0,54,7,0.714285714,12,2.166666667,YES,1
2683929,540,53,0,14,4,3,2,7,YES,1
1451423,408,16,0,49,6,4.166666667,4,0.75,YES,1
5073107,62,34,0,29,1,0,13,0,YES,1
1599076,135,2,0,29,1,0,4,0,YES,1
2829434,383,27,2,27,4,3.5,22,1,YES,1
439073,278,59,0,35,6,1.666666667,17,1.647058824,YES,1
4381534,381,5,2,21,38,0.236842105,1,0,YES,1
7760858,98,26,0,43,1,0,28,0.535714286,NO,-1
9793130,61,25,0,26,1,1,6,0.666666667,YES,1
4707928,374,89,1,24,5,1.4,15,1.8,YES,1
6756236,201,2,0,90,3,0,1,0,NO,-1
344407,617,333,29,210,13,2.538461538,9,1.777777778,NO,-1
786416,61,0,0,30,2,0,1,0,NO,-1
3578997,118,181,0,17,3,0,4,0.25,YES,1
2623486,28,1,0,19,1,0,9,0,YES,1
8875079,41,29,0,67,5,0,1,0,NO,-1
2431509,112,42,0,56,12,0.5,4,0.75,YES,1
118843,1303,75,1,151,20,2.3,28,4.071428571,NO,-1
4727406,85,29,0,23,7,0.857142857,3,1.333333333,NO,-1
505646,322,38,0,39,7,1.857142857,5,3.4,MODERATE,0
1282923,1744,28,1,153,83,0,1,0,NO,-1
5923183,53,59,0,33,3,0,6,1,NO,-1
55478,4188,2638,21,418,8,46.875,2,2.5,YES,1
1358535,72,17,0,47,5,1.4,11,-0.090909091,NO,-1
