id,reputation,num_badges,num_answers,num_questions,num_comments,num_accepted_answers,avg_ans_score,avg_ques_score,avg_comm_score,avg_accepted_ans_score,contributing_score
3950278,305,9,17,1,8,9,1.0,0.0,0.13,1.33,0.86
533610,594,33,1,18,48,1,0.0,5.06,0.0,0.0,1.34
1937753,81,8,1,3,10,1,1.0,3.67,0.0,0.0,0.8
2181285,5,7,1,5,13,1,0.0,-0.2,0.0,0.0,-0.05
114623,3881,59,22,23,102,11,13.09,5.17,1.24,15.55,4.46
3663995,495,20,5,3,7,1,1.8,23.0,0.71,0.0,5.19
1679940,143,15,5,8,31,1,1.0,1.63,0.1,3.0,0.53
7331303,71,7,1,17,20,1,0.0,0.41,0.05,0.0,0.21
4619529,156,18,3,38,124,3,0.33,0.5,0.01,0.33,0.13
1200478,29,1,1,1,1,1,2.0,0.0,0.0,0.0,0.5
1553090,42250,110,1445,9,3822,614,2.15,7.89,0.58,2.76,1.21
5024009,2298,26,84,2,230,56,1.18,2.0,0.39,1.36,0.72
230264,2680,28,9,1,8,6,39.44,0.0,0.62,31.83,22.96
3110529,638,23,43,6,131,16,0.58,0.67,0.2,1.06,0.37
3488757,311,15,10,12,54,1,0.6,1.58,0.07,0.0,0.38
1886665,83,14,5,7,14,1,0.6,0.71,0.07,2.0,0.41
2136076,389,16,18,5,19,3,1.78,0.2,0.16,0.33,0.82
5489398,65,6,1,4,1,1,2.0,2.0,0.0,0.0,1.43
3419498,22,5,1,7,35,1,0.0,-0.14,0.0,0.0,-0.02
606002,51,15,3,5,3,1,0.67,0.8,0.0,0.0,0.5
5491868,105,9,3,5,5,1,2.67,0.2,0.0,0.0,0.64
933668,136,22,3,56,177,1,0.0,0.11,0.04,0.0,0.05
8159167,23,5,1,6,7,1,0.0,0.67,0.14,0.0,0.33
364939,148,10,7,9,16,2,0.57,1.22,0.06,1.0,0.53
1904089,596,14,10,2,25,7,3.7,2.0,0.36,2.71,1.57
1713248,406,13,10,7,13,1,2.6,0.29,0.0,0.0,0.9
20,8660,106,86,19,82,25,6.3,19.21,0.37,8.8,5.46
27951,20652,123,195,24,118,60,9.25,10.79,0.92,25.13,9.27
3338823,196,26,2,23,35,1,0.5,1.74,0.03,0.0,0.69
